rank,name,Spouse (or domestic partner) - Spouse,Breakup - Participant,Dated - Participant,Canoodled - Participant,score,profession,age
,,,,Jordana Brewster,Kate Moss,,,
,,,,Mark Wahlberg,Mark Wahlberg,,,
,,,,Mark Wahlberg,,,,
,,,,Gwyneth Paltrow,,,,
,,,,China Chow,,,,
,,,,Mark Wahlberg,,,,
,,,,Mark Wahlberg,,,,
,,,,Tammy Pobi,,,,
,,,,Rhea Durham,,,,
,,,,Mark Wahlberg,,,,
,,,,Mark Wahlberg,,,,
,,,,Alyssa Milano,,,,
,,,,Mark Wahlberg,,,,
,,,,Jaime Rishar,,,,
49,Eddie Murphy,Eddie Murphy,,Lara Larue,Eddie Murphy,7.66,"Actor, Director, Producer, Singer (Cameo), Voice (Animated project), Writer",51
,,Nicole Mitchell Murphy,,Eddie Murphy,Mariah Carey,,,
,,Tracey Edmonds,,Eddie Murphy,Eddie Murphy,,,
,,Eddie Murphy,,Charlotte Lewis,Atisone Seiuli,,,
,,,,Eddie Murphy,,,,
,,,,Robin Givens,,,,
,,,,Halle Berry,,,,
,,,,Eddie Murphy,,,,
,,,,Eddie Murphy,,,,
,,,,Charlotte Lewis,,,,
50,Sacha Baron Cohen,Isla Fisher,,,Samantha Loshin,7.64,"Actor, Producer, Writer",40
,,Sacha Baron Cohen,,,Sacha Baron Cohen,,,
51,Kate Winslet,Kate Winslet,Rufus Sewell,Anthony Bregman,,7.63,Actress,36
,,Sam Mendes,Kate Winslet,Kate Winslet,,,,
,,Kate Winslet,Anthony Bregman,Rufus Sewell,,,,
,,Jim Threapleton,Kate Winslet,Kate Winslet,,,,
,,,Jeff Smeenge,Jim Threapleton,,,,
,,,Kate Winslet,Kate Winslet,,,,
,,,Jim Threapleton,Jeff Smeenge,,,,
,,,Kate Winslet,Kate Winslet,,,,
,,,,Sam Mendes,,,,
,,,,Kate Winslet,,,,
,,,,Stephen Tredre,,,,
,,,,Kate Winslet,,,,
,,,,Kate Winslet,,,,
,,,,Stephen Tredre,,,,
,,,,Kate Winslet,,,,
,,,,Rufus Sewell,,,,
52,Jake Gyllenhaal,,,Reese Witherspoon,Jake Gyllenhaal,7.61,"Actor, Singer (Cameo)",31
,,,,Jake Gyllenhaal,Reese Witherspoon,,,
,,,,Reese Witherspoon,,,,
,,,,Jake Gyllenhaal,,,,
,,,,Natalie Portman,,,,
,,,,Jake Gyllenhaal,,,,
,,,,Jake Gyllenhaal,,,,
,,,,Rachel Stevens,,,,
,,,,Jake Gyllenhaal,,,,
,,,,Jaime King,,,,
,,,,Kirsten Dunst,,,,
,,,,Jake Gyllenhaal,,,,
53,Jack Black,Tanya Haden,,Laura Kightlinger,,7.6,"Actor, Composer, Producer, Writer",42
,,Jack Black,,Jack Black,,,,
53,Sandra Bullock,Jesse G. James,,Sandra Bullock,Sandra Bullock,7.6,"Actress, Director, Producer, Singer (Cameo), Writer",47
,,Sandra Bullock,,Matthew McConaughey,Ben Affleck,,,
,,,,Sandra Bullock,,,,
,,,,Ryan Gosling,,,,
,,,,Sandra Bullock,,,,
,,,,Tate Donovan,,,,
,,,,Sandra Bullock,,,,
,,,,Ben Affleck,,,,
,,,,Sandra Bullock,,,,
,,,,Michael Mailer,,,,
,,,,Sandra Bullock,,,,
,,,,Bob Schneider,,,,
,,,,Keanu Reeves,,,,
,,,,Sandra Bullock,,,,
,,,,Sandra Bullock,,,,
,,,,Guy Forsythe,,,,
,,,,Sandra Bullock,,,,
,,,,Sebastian Copeland,,,,
,,,,Sandra Bullock,,,,
,,,,Benjamin Bratt,,,,
55,Jennifer Aniston,Brad Pitt,Jennifer Aniston,Jennifer Aniston,Jennifer Aniston,7.58,"Actress, Producer",43
,,Jennifer Aniston,Vince Vaughn,Vince Vaughn,John Mayer,,,
,,Justin Theroux,Jennifer Aniston,Jennifer Aniston,,,,
,,Jennifer Aniston,Brad Pitt,John Mayer,,,,
,,,Jennifer Aniston,Jennifer Aniston,,,,
,,,John Mayer,Paul Sculfor,,,,
,,,,Jennifer Aniston,,,,
,,,,Adam Duritz,,,,
,,,,Jennifer Aniston,,,,
,,,,John Mayer,,,,
,,,,Jennifer Aniston,,,,
,,,,Tate Donovan,,,,
,,,,Jennifer Aniston,,,,
,,,,Vince Vaughn,,,,
55,Halle Berry,Eric Benét,Halle Berry,Gabriel Aubry,Larenz Tate,7.58,"Actress, Fragrance, Producer",45
,,Halle Berry,Halle Berry,Halle Berry,Halle Berry,,,
,,David Justice,,Halle Berry,Pitof,,,
,,Halle Berry,,Fred Durst,Halle Berry,,,
,,Halle Berry,,Halle Berry,Orlando Jones,,,
,,Gabriel Aubry,,Wesley Snipes,Halle Berry,,,
,,Olivier Martinez,,Halle Berry,,,,
,,Halle Berry,,Michael Ealy,,,,
,,,,Halle Berry,,,,
,,,,Terrence Howard,,,,
,,,,Halle Berry,,,,
,,,,Halle Berry,,,,
,,,,Kevin Costner,,,,
,,,,Halle Berry,,,,
,,,,Gabriel Aubry,,,,
,,,,Halle Berry,,,,
,,,,Eddie Murphy,,,,
,,,,Halle Berry,,,,
,,,,Danny Wood,,,,
55,Hugh Grant,,,Hugh Grant,Hugh Grant,7.58,"Actor, Singer (Cameo)",51
,,,,Elizabeth Hurley,Heidi Klum,,,
55,Matthew McConaughey,Camila Alves,,Camila Alves,Janet Jackson,7.58,"Actor, Director, Producer, Singer (Cameo), Writer",42
,,Matthew McConaughey,,Matthew McConaughey,Matthew McConaughey,,,
,,,,Sandra Bullock,Cassandra Hepburn,,,
,,,,Matthew McConaughey,Matthew McConaughey,,,
,,,,Penélope Cruz,Matthew McConaughey,,,
,,,,Matthew McConaughey,Debbie Allen,,,
,,,,Matthew McConaughey,Jodie Foster,,,
,,,,Salli Richardson,Matthew McConaughey,,,
,,,,Matthew McConaughey,,,,
,,,,Patricia Arquette,,,,
,,,,Ashley Judd,,,,
,,,,Matthew McConaughey,,,,
,,,,Matthew McConaughey,,,,
,,,,Amber Hay,,,,
,,,,Matthew McConaughey,,,,
,,,,Michelle Smith,,,,
,,,,Matthew McConaughey,,,,
,,,,Camila Alves,,,,
59,Robert Redford,Lola Van Wagenen,,Robert Redford,,7.56,Actor,75
,,Robert Redford,,Kim Basinger,,,,
,,Sibylle Szaggars,,Robert Redford,,,,
,,Robert Redford,,Jane Fonda,,,,
60,Edward Norton,,,Shauna Robertson,Evan Rachel Wood,7.55,"Actor, Director, Producer, Singer (Cameo), Writer",42
,,,,Edward Norton,Edward Norton,,,
,,,,Drew Barrymore,Cameron Diaz,,,
,,,,Edward Norton,Edward Norton,,,
,,,,Salma Hayek,Edward Norton,,,
,,,,Edward Norton,Jessica Biel,,,
,,,,Edward Norton,Naomi Watts,,,
,,,,Courteney Cox,Edward Norton,,,
,,,,Edward Norton,,,,
,,,,Shauna Roberts,,,,
61,Michael Douglas,Michael Douglas,,Michael Douglas,,7.52,"Actor, Director, Producer",67
,,Catherine Zeta-Jones,,Brenda Vaccaro,,,,
,,Michael Douglas,,Michael Douglas,,,,
,,Diandra Luker,,Elizabeth Vargas,,,,
62,Richard Gere,Richard Gere,Richard Gere,Richard Gere,,7.5,"Actor, Producer, Singer (Cameo)",62
,,Cindy Crawford,Cindy Crawford,Julia Roberts,,,,
,,Richard Gere,,Richard Gere,,,,
,,Carey Lowell,,Susan Sarandon,,,,
,,,,Julia Roberts,,,,
,,,,Richard Gere,,,,
62,Dustin Hoffman,Lisa Gottsegen,,,,7.5,"Actor, Director, Producer, Singer (Cameo)",74
,,Dustin Hoffman,,,,,,
,,Dustin Hoffman,,,,,,
,,Anne Byrne,,,,,,
62,Renée Zellweger,Renée Zellweger,Renée Zellweger,Renée Zellweger,Renée Zellweger,7.5,Actress,43
,,Kenny Chesney,Jim Carrey,Jim Carrey,George Clooney,,,
,,,Paul McCartney,Dan Abrams,Renée Zellweger,,,
,,,Renée Zellweger,Renée Zellweger,John Krasinski,,,
,,,,Jim Carrey,Dan Abrams,,,
,,,,Renée Zellweger,Renée Zellweger,,,
,,,,Andre Balazs,,,,
,,,,Renée Zellweger,,,,
,,,,Renée Zellweger,,,,
,,,,Sims Ellison,,,,
,,,,Renée Zellweger,,,,
,,,,Damien Rice,,,,
,,,,Jack White,,,,
,,,,Renée Zellweger,,,,
,,,,Renée Zellweger,,,,
,,,,Paul McCartney,,,,
,,,,Renée Zellweger,,,,
,,,,John Krasinski,,,,
,,,,Renée Zellweger,,,,
,,,,Luke Perry,,,,
65,Anthony Hopkins,Stella Arroyave,,Anthony Hopkins,,7.45,"Actor, Director, Producer, Writer",74
,,Anthony Hopkins,,Francine Kay,,,,
,,Jennifer Lynton,,Anthony Hopkins,,,,
,,Anthony Hopkins,,Joyce Ingalls,,,,
,,Martha O'Brien,,,,,,
,,Anthony Hopkins,,,,,,
65,Clive Owen,Clive Owen,,Sarah-Jane Fenton,Angelina Jolie,7.45,Actor,47
,,Sarah-Jane Fenton,,Clive Owen,Clive Owen,,,
,,,,Angelina Jolie,Naomi Watts,,,
,,,,Clive Owen,Clive Owen,,,
65,Robin Williams,Robin Williams,,,,7.45,"Actor, Comedian",61
,,Marsha Garces Williams,,,,,,
,,Valerie Velardi,,,,,,
,,Robin Williams,,,,,,
,,Susan Schneider,,,,,,
,,Robin Williams,,,,,,
68,Hilary Swank,Hilary Swank,,Hilary Swank,Justin Whalin,7.43,"Actress, Producer",37
,,Chad Lowe,,John Campisi,Hilary Swank,,,
,,,,Leonardo DiCaprio,,,,
,,,,Hilary Swank,,,,
69,Jamie Foxx,,,Vivica A. Fox,Jamie Foxx,7.42,"Actor, Composer, Director, Producer, Singer, Writer",44
,,,,Jamie Foxx,Carmen Electra,,,
,,,,Lil' Kim,,,,
,,,,Jamie Foxx,,,,
,,,,Sofía Vergara,,,,
,,,,Jamie Foxx,,,,
70,Woody Allen,Woody Allen,,Woody Allen,,7.39,"Actor, Comedian, Director, Musician, Writer",76
,,Louise Lasser,,Diane Keaton,,,,
,,Woody Allen,,Woody Allen,,,,
,,Soon-Yi Previn,,Stacey Nelkin,,,,
,,Harlene Rosen,,Woody Allen,,,,
,,Woody Allen,,Mia Farrow,,,,
,,Woody Allen,,,,,,
,,Mia Farrow,,,,,,
70,Penélope Cruz,Penélope Cruz,,Penélope Cruz,Penélope Cruz,7.39,"Actress, Dancer, Producer, Singer (Cameo)",38
,,Javier Bardem,,Tom Cruise,Nicolas Cage,,,
,,,,Penélope Cruz,,,,
,,,,Josh Hartnett,,,,
,,,,Penélope Cruz,,,,
,,,,Orlando Bloom,,,,
,,,,Penélope Cruz,,,,
,,,,Faiz Ahmad,,,,
,,,,Penélope Cruz,,,,
,,,,Matthew McConaughey,,,,
,,,,Penélope Cruz,,,,
,,,,Josh Hartnett,,,,
,,,,Penélope Cruz,,,,
,,,,Matt Damon,,,,
,,,,Penélope Cruz,,,,
,,,,Javier Bardem,,,,
,,,,Penélope Cruz,,,,
,,,,Nacho Cano,,,,
,,,,Penélope Cruz,,,,
,,,,Tom Cruise,,,,
72,Pierce Brosnan,Pierce Brosnan,,,,7.37,"Actor, Producer, Singer (Cameo)",59
,,Cassandra Harris,,,,,,
,,Pierce Brosnan,,,,,,
,,Keely Shaye Smith,,,,,,
72,The Rock,Dany Garcia,,,,7.37,"Actor, Singer (Cameo)",40
,,The Rock,,,,,,
72,Ashton Kutcher,Ashton Kutcher,Brittany Murphy,Ashton Kutcher,Ashton Kutcher,7.37,"Actor, Model, Producer, Singer (Cameo), Writer",34
,,Demi Moore,Ashton Kutcher,Brittany Murphy,Demi Moore,,,
,,,,Rhea Durham,Paris Hilton,,,
,,,,Ashton Kutcher,Ashton Kutcher,,,
,,,,Amy Smart,Jasmine Dustin,,,
,,,,Ashton Kutcher,Ashton Kutcher,,,
,,,,Nelly Furtado,,,,
,,,,Ashton Kutcher,,,,
,,,,Ashton Kutcher,,,,
,,,,January Jones,,,,
,,,,Ashley Scott,,,,
,,,,Ashton Kutcher,,,,
,,,,Ashton Kutcher,,,,
,,,,Demi Moore,,,,
,,,,Ashton Kutcher,,,,
,,,,Amy Smart,,,,
,,,,Ashton Kutcher,,,,
,,,,January Jones,,,,
,,,,Ashton Kutcher,,,,
,,,,Monet Mazur,,,,
75,Philip Seymour Hoffman,Mimi O'Donnell,,Philip Seymour Hoffman,,7.35,"Actor, Producer",45
,,Philip Seymour Hoffman,,Mimi O'Donnell,,,,
75,Bill Murray,Jennifer Butler,,,,7.35,"Actor, Director, Producer, Singer (Cameo), Writer",61
,,Bill Murray,,,,,,
,,Margaret Kelly,,,,,,
,,Bill Murray,,,,,,
77,Ben Affleck,Ben Affleck,Jennifer Lopez,Ben Affleck,Courtney Love,7.34,"Actor, Director, Producer, Writer",39
,,Jennifer Garner,Ben Affleck,Krista Allen,Ben Affleck,,,
,,,,Jennifer Lopez,Jennifer Lopez,,,
,,,,Ben Affleck,Ben Affleck,,,
,,,,Gwyneth Paltrow,Krista Allen,,,
,,,,Ben Affleck,Ben Affleck,,,
,,,,Cheyenne Rothman,Pamela Anderson,,,
,,,,Ben Affleck,Ben Affleck,,,
,,,,Famke Janssen,Jaime King,,,
,,,,Ben Affleck,Ben Affleck,,,
,,,,Ben Affleck,Enza Sambataro,,,
,,,,Jennifer Garner,Ben Affleck,,,
,,,,Ben Affleck,Famke Janssen,,,
,,,,Krista Allen,Ben Affleck,,,
,,,,Ben Affleck,Maya Rudolph,,,
,,,,Cheyenne Rothman,Ben Affleck,,,
,,,,Sandra Bullock,Sandra Bullock,,,
,,,,Ben Affleck,Ben Affleck,,,
,,,,Ben Affleck,,,,
,,,,Gwyneth Paltrow,,,,
77,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,7.34,"Actress, Director, Singer (Cameo)",27
,,Ryan Reynolds,Derek Jeter,Derek Jeter,Wilmer Valderrama,,,
,,,Scarlett Johansson,Scarlett Johansson,,,,
,,,Justin Timberlake,Josh Hartnett,,,,
,,,,Scarlett Johansson,,,,
,,,,Justin Timberlake,,,,
,,,,Scarlett Johansson,,,,
,,,,Patrick Wilson,,,,
,,,,Scarlett Johansson,,,,
,,,,Topher Grace,,,,
,,,,Scarlett Johansson,,,,
,,,,Jared Leto,,,,
,,,,Scarlett Johansson,,,,
,,,,Ryan Reynolds,,,,
,,,,Josh Hartnett,,,,
,,,,Scarlett Johansson,,,,
79,Jude Law,Jude Law,Sadie Frost,Jude Law,Cameron Diaz,7.29,"Actor, Director, Producer, Singer (Cameo)",39
,,Sadie Frost,Jude Law,Kimberly Stewart,Jude Law,,,
,,,Sienna Miller,Natalie Portman,Jude Law,,,
,,,Jude Law,Jude Law,Cameron Diaz,,,
,,,Kim Hersov,Lily Cole,Jude Law,,,
,,,Jude Law,Jude Law,Kimberly Stewart,,,
,,,Natalie Portman,Jude Law,Jude Law,,,
,,,Jude Law,Susan Hoecke,Lindsay Lohan,,,
,,,,Kim Hersov,,,,
,,,,Jude Law,,,,
,,,,Sienna Miller,,,,
,,,,Jude Law,,,,
,,,,Sadie Frost,,,,
,,,,Jude Law,,,,
,,,,Jude Law,,,,
,,,,Susan Hoecke,,,,
,,,,Jude Law,,,,
,,,,Sienna Miller,,,,
,,,,Jude Law,,,,
,,,,Sophie Monk,,,,
80,Colin Farrell,Amelia Warner,Emma Forrest,Alicja Bachleda-Curus,Paris Hilton,7.27,"Actor, Singer (Cameo)",36
,,Colin Farrell,Colin Farrell,Colin Farrell,Colin Farrell,,,
,,Colin Farrell,Demi Moore,Britney Spears,Nicole Narain,,,
,,Alicja Bachleda-Curus,Colin Farrell,Colin Farrell,Colin Farrell,,,
,,Kim Bordenave,,Emma Forrest,Lindsay Lohan,,,
,,Colin Farrell,,Colin Farrell,Colin Farrell,,,
,,,,Demi Moore,Paris Hilton,,,
,,,,Colin Farrell,Colin Farrell,,,
,,,,Salma Hayek,Robin Wright,,,
,,,,Colin Farrell,Colin Farrell,,,
,,,,Michelle Rodriguez,Kate Beckinsale,,,
,,,,Colin Farrell,Colin Farrell,,,
,,,,Rachel Stevens,Demi Moore,,,
,,,,Colin Farrell,Colin Farrell,,,
,,,,Kim Bordenave,Britney Spears,,,
,,,,Colin Farrell,Colin Farrell,,,
,,,,Hazel Kareswarren,Elle Macpherson,,,
,,,,Colin Farrell,Colin Farrell,,,
,,,,Elle Macpherson,Denise Richards,,,
,,,,Colin Farrell,Colin Farrell,,,
80,Anne Hathaway,,Raffaello Follieri,Raffaello Follieri,Adam Shulman,7.27,"Actress, Singer (Cameo)",29
,,,Anne Hathaway,Anne Hathaway,Anne Hathaway,,,
,,,,Adam Shulman,Raffaello Follieri,,,
,,,,Anne Hathaway,Anne Hathaway,,,
,,,,Topher Grace,Josh Lucas,,,
,,,,Anne Hathaway,Anne Hathaway,,,
,,,,Hugh Dancy,Anne Hathaway,,,
,,,,Anne Hathaway,Francesco Coco,,,
,,,,Anne Hathaway,,,,
,,,,Raffaello Follieri,,,,
80,Kate Hudson,Kate Hudson,Owen Wilson,Owen Wilson,Alex Rodriguez,7.27,"Actress, Director, Producer, Singer (Cameo), Writer",33
,,Chris Robinson,Kate Hudson,Kate Hudson,Kate Hudson,,,
,,Matthew Bellamy,Chris Robinson,Lance Armstrong,Lance Armstrong,,,
,,Kate Hudson,Kate Hudson,Kate Hudson,Kate Hudson,,,
,,,Lance Armstrong,Chris Robinson,,,,
,,,Kate Hudson,Kate Hudson,,,,
,,,Eric Lindros,Adam Scott,,,,
,,,Kate Hudson,Kate Hudson,,,,
,,,Dax Shepard,Alex Rodriguez,,,,
,,,Kate Hudson,Kate Hudson,,,,
,,,Adam Scott,Chris Robinson,,,,
,,,Kate Hudson,Kate Hudson,,,,
,,,,Dax Shepard,,,,
,,,,Kate Hudson,,,,
,,,,Eric Lindros,,,,
,,,,Kate Hudson,,,,
,,,,Lance Armstrong,,,,
,,,,Kate Hudson,,,,
,,,,Kate Hudson,,,,
,,,,Owen Wilson,,,,
80,Mike Myers,Robin Ruzan,,,,7.27,"Actor, Producer, Singer (Cameo), Writer",49
,,Mike Myers,,,,,,
,,Kelly Tisdale,,,,,,
,,Mike Myers,,,,,,
80,Natalie Portman,Benjamin Millepied,Natalie Portman,Natalie Portman,Natalie Portman,7.27,"Actress, Director, Producer, Singer (Cameo), Writer",31
,,Natalie Portman,Jude Law,Jude Law,Adam Levine,,,
,,,,Natalie Portman,,,,
,,,,Kai Jurgensen,,,,
,,,,Natalie Portman,,,,
,,,,Jake Gyllenhaal,,,,
,,,,Natalie Portman,,,,
,,,,"Nathan Rothschild, 1st Baron Rothschild",,,,
,,,,Natalie Portman,,,,
,,,,Lukus Haas,,,,
,,,,Natalie Portman,,,,
,,,,Javier Bardem,,,,
,,,,Natalie Portman,,,,
,,,,Adam Levine,,,,
,,,,Natalie Portman,,,,
,,,,Gael García Bernal,,,,
,,,,Natalie Portman,,,,
,,,,Hayden Christensen,,,,
,,,,Natalie Portman,,,,
,,,,Nathan Bogle,,,,
85,Seth Rogen,Lauren Miller,,,,7.24,"Actor, Producer, Writer",30
,,Seth Rogen,,,,,,
85,Owen Wilson,,Owen Wilson,Owen Wilson,Kari Wührer,7.24,Actor,43
,,,Kate Hudson,Sheryl Crow,Owen Wilson,,,
,,,,Owen Wilson,Owen Wilson,,,
,,,,Kate Hudson,Demi Moore,,,
,,,,Kate Hudson,,,,
,,,,Owen Wilson,,,,
,,,,Demi Moore,,,,
,,,,Owen Wilson,,,,
,,,,Gina Gershon,,,,
,,,,Owen Wilson,,,,
,,,,Owen Wilson,,,,
,,,,Le Call,,,,
,,,,Sheryl Crow,,,,
,,,,Owen Wilson,,,,
,,,,Owen Wilson,,,,
,,,,Carolina Carisola,,,,
85,Catherine Zeta-Jones,Michael Douglas,,Catherine Zeta-Jones,,7.24,Actress,42
,,Catherine Zeta-Jones,,John Leslie,,,,
,,,,Catherine Zeta-Jones,,,,
,,,,Mick Hucknall,,,,
,,,,Catherine Zeta-Jones,,,,
,,,,Angus Macfadyen,,,,
,,,,Catherine Zeta-Jones,,,,
,,,,Jon Peters,,,,
88,Samuel L. Jackson,Latanya Richardson,,,,7.23,"Actor, Producer, Singer (Cameo)",63
,,Samuel L. Jackson,,,,,,
88,James McAvoy,James McAvoy,,,,7.23,Actor,33
,,Anne-Marie Duff,,,,,,
90,Tommy Lee Jones,Dawn Laurel-Jones,,,,7.19,"Actor, Director, Producer, Singer (Cameo), Writer",65
,,Tommy Lee Jones,,,,,,
,,Tommy Lee Jones,,,,,,
,,Kimberlea Cloughley,,,,,,
,,Tommy Lee Jones,,,,,,
,,Kate Lardner,,,,,,
90,Forest Whitaker,Keisha Nash Whitaker,,,,7.19,Actor,51
,,Forest Whitaker,,,,,,
92,Tyler Perry,,,,,7.18,"Actor, Composer, Director, Producer, Writer",42
93,Steve Martin,Steve Martin,Bernadette Peters,Kristin Davis,,7.17,"Actor, Director, Producer, Singer (Cameo), Writer",66
,,Victoria Tennant,Steve Martin,Steve Martin,,,,
,,Anne Stringfield,Kristin Davis,Anne Stringfield,,,,
,,Steve Martin,Steve Martin,Steve Martin,,,,
,,,Allyson Hollingsworth,Cindy Sherman,,,,
,,,Steve Martin,Steve Martin,,,,
,,,Anne Heche,Victoria Tennant,,,,
,,,Steve Martin,Steve Martin,,,,
,,,Cindy Sherman,Anne Heche,,,,
,,,Steve Martin,Steve Martin,,,,
,,,Karen Carpenter,Bernadette Peters,,,,
,,,Steve Martin,Steve Martin,,,,
,,,Victoria Tennant,Karen Carpenter,,,,
,,,Steve Martin,Steve Martin,,,,
,,,,Allyson Hollingsworth,,,,
,,,,Steve Martin,,,,
,,,,Steve Martin,,,,
,,,,Anne Heche,,,,
,,,,Steve Martin,,,,
,,,,Bernadette Peters,,,,
94,Javier Bardem,Penélope Cruz,,Penélope Cruz,,7.16,"Actor, Producer",43
,,Javier Bardem,,Javier Bardem,,,,
,,,,Natalie Portman,,,,
,,,,Javier Bardem,,,,
,,,,Javier Bardem,,,,
,,,,Christina Pales,,,,
94,Viggo Mortensen,Exene Cervenka,Exene Cervenka,Viggo Mortensen,Amy Jewell,7.16,"Actor, Singer (Cameo)",53
,,Viggo Mortensen,Viggo Mortensen,Jenny Johnson,Viggo Mortensen,,,
,,Ariadna Gil,,Viggo Mortensen,David Cronenberg,,,
,,Viggo Mortensen,,Donita Sparks,Viggo Mortensen,,,
,,,,Viggo Mortensen,Josie Bissett,,,
,,,,,Viggo Mortensen,,,
,,,,,Ariadna Gil,,,
,,,,,Viggo Mortensen,,,
96,Helen Mirren,Taylor Hackford,,Liam Neeson,,7.15,"Actress, Director, Producer, Singer (Cameo)",67
,,Helen Mirren,,Helen Mirren,,,,
96,Kevin Spacey,,,Kevin Spacey,,7.15,Actor,62
,,,,Dianne Dreyer,,,,
,,,,Kevin Spacey,,,,
,,,,April Winchell,,,,
,,,,Kevin Spacey,,,,
,,,,Helen Hunt,,,,
98,Jennifer Lopez,Ojani Noa,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez,7.14,"Actress, Musician, Producer",43
,,Jennifer Lopez,Ben Affleck,Wesley Snipes,Ben Affleck,,,
,,Cris Judd,,Jennifer Lopez,,,,
,,Jennifer Lopez,,Ben Affleck,,,,
,,Marc Anthony,,,,,,
,,Jennifer Lopez,,,,,,
98,Uma Thurman,Uma Thurman,,Uma Thurman,Brad Pitt,7.14,Actress,42
,,Gary Oldman,,Andre Balazs,Uma Thurman,,,
,,Uma Thurman,,Uma Thurman,,,,
,,Ethan Hawke,,Timothy Hutton,,,,
,,,,John Cusack,,,,
,,,,Uma Thurman,,,,
,,,,Uma Thurman,,,,
,,,,Robert Downey Jr.,,,,
,,,,Uma Thurman,,,,
,,,,Arpad Busson,,,,
,,,,Uma Thurman,,,,
,,,,David Wike,,,,
,,,,Uma Thurman,,,,
,,,,Nicolas Cage,,,,
100,Naomi Watts,Liev Schreiber,,Liev Schreiber,Naomi Watts,7.13,Actress,43
,,Naomi Watts,,Naomi Watts,Clive Owen,,,
,,,,Naomi Watts,Naomi Watts,,,
,,,,Heath Ledger,Edward Norton,,,
101,Kevin Costner,Christine Baumgartner,,Kevin Costner,Kevin Costner,7.11,"Actor, Director, Musician, Producer, Singer",57
,,Kevin Costner,,Naomi Campbell,Mira Sorvino,,,
,,Cindy Costner,,Kevin Costner,Kathie Lee Gifford,,,
,,Kevin Costner,,Courteney Cox,Kevin Costner,,,
,,,,Kevin Costner,,,,
,,,,Elle Macpherson,,,,
,,,,Halle Berry,,,,
,,,,Kevin Costner,,,,
,,,,Kevin Costner,,,,
,,,,Karin Reznack,,,,
,,,,Kevin Costner,,,,
,,,,Bridget Rooney,,,,
102,Eric Bana,Rebecca Gleeson,,Eric Bana,,7.08,"Actor, Producer, Writer",43
,,Eric Bana,,Saffron Burrows,,,,
103,Sarah Jessica Parker,Sarah Jessica Parker,,Sarah Jessica Parker,,7.06,"Actress, Producer, Singer (Cameo)",47
,,Matthew Broderick,,Nicolas Cage,,,,
,,,,Michael J. Fox,,,,
,,,,Sarah Jessica Parker,,,,
,,,,Sarah Jessica Parker,,,,
,,,,Robert Downey Jr.,,,,
,,,,Sarah Jessica Parker,,,,
,,,,Chris Penn,,,,
104,Joaquin Phoenix,,Liv Tyler,Topaz Pagegreene,Anna Friel,7.01,"Actor, Musician, Producer, Rapper",37
,,,Joaquin Phoenix,Joaquin Phoenix,Joaquin Phoenix,,,
,,,Anna Paquin,Anna Paquin,Katie Parfet,,,
,,,Joaquin Phoenix,Joaquin Phoenix,Joaquin Phoenix,,,
,,,Topaz Pagegreene,Liv Tyler,Jessica Joffe,,,
,,,Joaquin Phoenix,Joaquin Phoenix,Joaquin Phoenix,,,
,,,Lisa Ebeltoft,Lisa Ebeltoft,,,,
,,,Joaquin Phoenix,Joaquin Phoenix,,,,
,,,,Joaquin Phoenix,,,,
,,,,Amelia Warner,,,,
,,,,Joaquin Phoenix,,,,
,,,,Topaz Pagegreene,,,,
,,,,Joaquin Phoenix,,,,
,,,,Liv Tyler,,,,
,,,,Joaquin Phoenix,,,,
,,,,Ginnifer Goodwin,,,,
,,,,Joaquin Phoenix,,,,
,,,,Lisa Ebeltoft,,,,
105,Ewan McGregor,Ewan McGregor,,,,6.99,"Actor, Director, Producer, Singer (Cameo)",41
,,Eve Mavrakis,,,,,,
106,John Cusack,,,John Cusack,Britney Spears,6.98,"Actor, Producer, Writer",46
,,,,Meg Ryan,John Cusack,,,
,,,,John Cusack,John Cusack,,,
,,,,Claire Forlani,Rebecca Romijn,,,
,,,,John Cusack,Alexandra Kerry,,,
,,,,Gabriela Spanic,John Cusack,,,
,,,,John Cusack,Pamela Anderson,,,
,,,,Susannah Melvoin,John Cusack,,,
,,,,John Cusack,Sheryl Crow,,,
,,,,Uma Thurman,John Cusack,,,
,,,,John Cusack,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,John Cusack,,,,
,,,,Lili Taylor,,,,
,,,,John Cusack,,,,
,,,,Jodi Lyn O'Keefe,,,,
,,,,Minnie Driver,,,,
,,,,John Cusack,,,,
,,,,John Cusack,,,,
,,,,Alison Eastwood,,,,
106,Jet Li,Jet Li,,,,6.98,"Actor, Director, Producer, Writer",49
,,Nina Li Chi,,,,,,
,,Huang Qiuyan,,,,,,
,,Jet Li,,,,,,
108,Jessica Alba,Jessica Alba,Jessica Alba,Jessica Alba,Sergio García,6.97,Actress,31
,,Cash Warren,Derek Jeter,Derek Jeter,Jessica Alba,,,
,,Michael Weatherly,,Jessica Alba,Jessica Alba,,,
,,Jessica Alba,,Mark Wahlberg,Wilmer Valderrama,,,
,,,,Derek Jeter,,,,
,,,,Jessica Alba,,,,
,,,,Jessica Alba,,,,
,,,,Paul Walker,,,,
,,,,Jessica Alba,,,,
,,,,Michael Weatherly,,,,
,,,,Jessica Alba,,,,
